generation,Individual,chromosome_ID,genes,fitness,test_EXP_VAR_SCORE,test_MAE,test_MAPE,test_MAX_ERROR,test_MSE,test_R2,test_RMSE,train_EXP_VAR_SCORE,train_MAE,train_MAPE,train_MAX_ERROR,train_MSE,train_R2,train_RMSE
0,0,8,"[0.076634, 0.358, 1, 32, 'relu', 'mae', ['GRU'], 'Nadam']",45.58759242938658,0.8227879519738539,4.607108010317018,0.2072484384813974,52.10263916015624,45.58759242938658,0.7892838603488399,6.751858442635374,0.8410138078918192,5.471070425694441,0.2511369901041637,66.58758396148681,62.623853615095314,0.8018199981424706,7.913523463988422
0,1,1,"[0.085843, 0.497, 4, 16, 'relu', 'mse', ['GRU'], 'Adam']",109.361884792773,0.5041824024624033,7.481317249617208,0.4060942837220833,57.53208633422851,109.361884792773,0.4945046895336096,10.457623286042244,0.5535062776703008,8.608771522301305,0.4679138260216483,64.02302749633789,150.57309764575297,0.5234950414495687,12.270823022346669
0,2,4,"[0.083488, 0.257, 4, 32, 'relu', 'mse', ['LSTM'], 'Adamax']",147.85497787900147,0.3186397237307328,8.507712556496863,0.455539502743147,63.71777549743652,147.85497787900147,0.3165809268140357,12.159563227312134,0.3040518467384526,10.938601861333066,0.6097871040432188,66.69679183959961,219.9204546638721,0.3040377811676362,14.829715259028816
0,3,2,"[0.023294, 0.295, 2, 8, 'elu', 'mape', [['GRU', 'LSTM']], 'RMSprop']",168.6901361791611,0.5748141320604897,9.246106521091718,0.3581502468782512,67.98373695373535,168.6901361791611,0.2202761234219531,12.988076692842595,0.5583104591503479,10.5644382868975,0.3641510062398919,68.8375224494934,230.2255410823074,0.2714262134078519,15.173184935349182
0,4,9,"[0.089102, 0.266, 2, 32, 'sigmoid', 'mae', [['LSTM', 'GRU']], 'RMSprop']",199.9989847240888,0.2440909869249869,8.967714346082483,0.3600780950442551,63.88095947265624,199.9989847240888,0.0755595601919704,14.142099728261316,0.2414328445254417,11.484193629704604,0.450743894155675,67.99161918640137,313.9574714901097,0.0064474047617986,17.718845094703823
0,5,5,"[0.045603, 0.399, 2, 32, 'sigmoid', 'mae', [['GRU', 'SimpleRNN']], 'Ftrl']",216.46854801694852,1.7646481194399932e-05,10.92214189521953,0.6218009933334188,62.99075477600098,216.46854801694852,-0.0005664779221803,14.71287014885092,1.9283340455644726e-05,12.813213989620373,0.6738985449468192,63.00082153320312,330.0670872761926,-0.0445332280499837,18.167748547252422
0,6,0,"[0.017318, 0.349, 1, 8, 'relu', 'mape', ['LSTM'], 'Ftrl']",500,0.4405232017850505,20.570770876058724,1.0125965870590268,76.67440591812134,538.7059040533071,-1.4900202546390218,23.21003886367507,0.2436394267530843,19.18276819199851,0.8308115480376009,84.6782031300664,544.0089241799434,-0.7215754601614937,23.32399888912584
0,7,3,"[0.065482, 0.388, 4, 16, 'relu', 'mape', ['LSTM'], 'Adam']",500,0.0120391741913022,18.15978495807284,0.7011928134720435,81.19743507385255,542.8961219219892,-1.5093883872060938,23.300131371346158,0.0157278162035013,22.11954434316797,0.7513862182854362,81.23304857254028,799.5717472474007,-1.530331833755464,28.276699723401254
0,8,6,"[0.069247, 0.151, 2, 16, 'softplus', 'mape', [['LSTM', 'SimpleRNN']], 'Nadam']",500,0.311088891629618,72.55657398699607,3.9945001373339735,130.413943939209,5413.499586413837,-24.022416716109632,73.57648799999791,0.287454558535964,71.93202303597396,3.6836592859343065,137.3979244995117,5399.3766051288485,-16.08691503098435,73.4804504962296
0,9,7,"[0.089739, 0.149, 4, 16, 'softsign', 'mape', ['GRU'], 'SGD']",500,2.4646951146678475e-14,9728271.666694423,574675.1714939899,9728293.88,94639269621225.84,-437444060789.8706,9728271.66670554,-1.1302070390684095e-13,9728267.558983834,556354.7083102217,9728294.99,94639189699493.28,-299496018013.44653,9728267.559000077
1,0,8,"[0.076634, 0.358, 1, 32, 'relu', 'mae', ['GRU'], 'Nadam']",45.58759242938658,0.8227879519738539,4.607108010317018,0.2072484384813974,52.10263916015624,45.58759242938658,0.7892838603488399,6.751858442635374,0.8410138078918192,5.471070425694441,0.2511369901041637,66.58758396148681,62.623853615095314,0.8018199981424706,7.913523463988422
1,1,100,"[0.076634, 0.358, 1, 32, 'relu', 'mse', ['GRU'], 'Adamax']",75.28873646926081,0.6716010507760379,6.038471670374186,0.2905481631841878,53.93995803833008,75.28873646926081,0.6519984701409769,8.676908232156245,0.67994110746747,7.12228063204425,0.3804631971009093,65.91430862426758,101.44525194047816,0.6789654571312523,10.072003372739614
1,2,200,"[0.023294, 0.295, 2, 16, 'relu', 'mse', [['GRU', 'LSTM']], 'Adam']",76.8041036235028,0.684909463907762,5.841306618310208,0.2656396034289825,57.49687667846679,76.8041036235028,0.6449941011914511,8.763795046867697,0.6880691676414165,7.217512919549307,0.3370832314917831,64.11574214935303,110.99932161909058,0.6487305635986389,10.535621558270332
1,3,300,"[0.071177, 0.286, 1, 32, 'softplus', 'mae', ['GRU'], 'RMSprop']",100.68338456244368,0.6429605386016136,6.701209264420108,0.2741392722213691,55.5682148361206,100.68338456244368,0.5346186760164291,10.0341110499358,0.6397338557635321,7.878614530256016,0.3398449634010151,67.16725997924804,137.93474492403195,0.5634904844202491,11.74456235557681
1,4,100,"[0.085843, 0.497, 4, 8, 'elu', 'mape', ['GRU'], 'RMSprop']",178.55973616932243,0.5570110287482818,9.475684677145518,0.352755380663465,67.68657012939452,178.55973616932243,0.1746566050617923,13.362624598832465,0.559286267173122,10.622167268113484,0.3694450167580596,68.03526538848877,233.86636094184945,0.2599044426308289,15.29268978766814
1,5,200,"[0.083488, 0.257, 4, 32, 'relu', 'mae', ['LSTM'], 'Nadam']",180.31432021214368,0.3278159548056296,8.471009901211449,0.3357607113399198,70.0463218307495,180.31432021214368,0.1665465216708018,13.428116778317936,0.3101036911913323,11.396767222062625,0.4283177459732338,71.82583911895752,302.5692348009436,0.0424867194626255,17.394517377637804
1,6,9,"[0.089102, 0.266, 2, 32, 'sigmoid', 'mae', [['LSTM', 'GRU']], 'RMSprop']",199.9989847240888,0.2440909869249869,8.967714346082483,0.3600780950442551,63.88095947265624,199.9989847240888,0.0755595601919704,14.142099728261316,0.2414328445254417,11.484193629704604,0.450743894155675,67.99161918640137,313.9574714901097,0.0064474047617986,17.718845094703823
1,7,400,"[0.039848, 0.464, 2, 8, 'sigmoid', 'mse', [['GRU', 'GRU']], 'Nadam']",204.7954879711955,0.0583082541751704,10.196288319560267,0.5503173705781103,62.84335105895997,204.7954879711955,0.0533890397895139,14.310677411331566,0.0558719547870006,12.319163672395836,0.6162519222132478,63.70224456787109,321.2663261528236,-0.0166822614439217,17.923903764326106
1,8,5,"[0.045603, 0.399, 2, 32, 'sigmoid', 'mae', [['GRU', 'SimpleRNN']], 'Ftrl']",216.46854801694852,1.7646481194399932e-05,10.92214189521953,0.6218009933334188,62.99075477600098,216.46854801694852,-0.0005664779221803,14.71287014885092,1.9283340455644726e-05,12.813213989620373,0.6738985449468192,63.00082153320312,330.0670872761926,-0.0445332280499837,18.167748547252422
1,9,400,"[0.003746, 0.319, 1, 16, 'tanh', 'mape', ['LSTM'], 'Ftrl']",224.4756089049337,0.1884048074814295,9.917885488084876,0.3917784403618199,77.13770767211913,224.4756089049337,-0.0375769202455267,14.982510100278049,0.0942237660169734,14.732509287571531,0.5290444333336395,84.51282490968704,441.567874573083,-0.3973896071771736,21.013516473286497
2,0,8,"[0.076634, 0.358, 1, 32, 'relu', 'mae', ['GRU'], 'Nadam']",45.58759242938658,0.8227879519738539,4.607108010317018,0.2072484384813974,52.10263916015624,45.58759242938658,0.7892838603488399,6.751858442635374,0.8410138078918192,5.471070425694441,0.2511369901041637,66.58758396148681,62.623853615095314,0.8018199981424706,7.913523463988422
2,1,8,"[0.076634, 0.358, 1, 32, 'relu', 'mae', ['GRU'], 'Nadam']",45.58759242938658,0.8227879519738539,4.607108010317018,0.2072484384813974,52.10263916015624,45.58759242938658,0.7892838603488399,6.751858442635374,0.8410138078918192,5.471070425694441,0.2511369901041637,66.58758396148681,62.623853615095314,0.8018199981424706,7.913523463988422
2,2,401,"[0.089153, 0.376, 4, 8, 'softsign', 'mse', ['GRU'], 'Nadam']",50.3961338877189,0.7807834887961207,4.970220452929877,0.2466371210271698,50.82347747802734,50.3961338877189,0.7670576966175173,7.099023446060655,0.7775283487718638,6.090706434151541,0.3145313723734863,66.42407554626465,72.15414186956752,0.7716603635153415,8.49435941490396
2,3,201,"[0.045603, 0.399, 2, 32, 'relu', 'mse', [['GRU', 'SimpleRNN']], 'Adam']",59.84166483259897,0.7473882579198822,5.424103171026624,0.2697660163173073,52.10034317016601,59.84166483259897,0.7233983210814295,7.735739449632399,0.7732518432118656,6.648432142838836,0.3282252653889472,62.52857536315918,87.9515348664486,0.7216677937078624,9.378247963582997
2,4,100,"[0.076634, 0.358, 1, 32, 'relu', 'mse', ['GRU'], 'Adamax']",75.28873646926081,0.6716010507760379,6.038471670374186,0.2905481631841878,53.93995803833008,75.28873646926081,0.6519984701409769,8.676908232156245,0.67994110746747,7.12228063204425,0.3804631971009093,65.91430862426758,101.44525194047816,0.6789654571312523,10.072003372739614
2,5,301,"[0.079775, 0.368, 2, 16, 'relu', 'mse', [['LSTM', 'SimpleRNN']], 'Adamax']",120.707780272191,0.5011340444523794,7.25434351223693,0.3262568722507201,64.75761314392089,120.707780272191,0.4420614002765227,10.986709255832292,0.4972490019512658,9.047948634744078,0.434119915539439,64.96576126098633,171.69972967534844,0.4566375145940299,13.10342434920538
2,6,100,"[0.085843, 0.497, 4, 8, 'elu', 'mape', ['GRU'], 'RMSprop']",178.55973616932243,0.5570110287482818,9.475684677145518,0.352755380663465,67.68657012939452,178.55973616932243,0.1746566050617923,13.362624598832465,0.559286267173122,10.622167268113484,0.3694450167580596,68.03526538848877,233.86636094184945,0.2599044426308289,15.29268978766814
2,7,200,"[0.083488, 0.257, 4, 32, 'relu', 'mae', ['LSTM'], 'Nadam']",180.31432021214368,0.3278159548056296,8.471009901211449,0.3357607113399198,70.0463218307495,180.31432021214368,0.1665465216708018,13.428116778317936,0.3101036911913323,11.396767222062625,0.4283177459732338,71.82583911895752,302.5692348009436,0.0424867194626255,17.394517377637804
